Home,Away,HomeScore,AwayScore,HomeSnaps,AwaySnaps,LYHomePassDVOA,LYHomeRushDVOA,LYOppPassDVOA,LYOppRushDVOA,TYHomePassDVOA,TYHomeRushDVOA,TYOppPassDVOA,TYOppRushDVOA
GB,CHI,24.5,21.5,64.62,63.17,28,23,1,2,28,23,1,2
TEN,CLE,25.5,20,61.93,65.98,21,15,7,25,21,15,7,25
BAL,MIA,16.25,21.25,64.04,65.67,3,6,23,24,3,6,23,24
ATL,MIN,25.75,21.75,62.07,61.99,29,30,5,11,29,30,5,11
BUF,NYJ,20.75,17.75,65.13,57.96,2,14,18,21,2,14,18,21
WAS,PHI,27.75,18.75,59.71,64.69,11,28,15,9,11,28,15,9
LAR,CAR,24,27,64.94,61.66,9,27,24,18,9,27,24,18
KC,JAC,24.25,28.25,65.39,65.43,12,32,6,7,12,32,6,7
IND,LAC,26.25,19.25,63.57,59.95,20,4,10,10,20,4,10,10
CIN,SEA,26.5,17,61.77,63.74,25,26,14,17,25,26,14,17
NYG,DAL,26.25,19.25,61.76,64.21,26,20,16,5,26,20,16,5
DET,ARI,22.5,25,62.65,62.05,31,13,8,29,31,13,8,29
SF,TB,25,24,60.28,64.24,27,12,30,31,27,12,30,31
PIT,NE,28.75,22.75,63.16,65.53,17,8,13,19,17,8,13,19
HOU,NO,30.25,23.25,60.85,64,19,1,22,3,19,1,22,3
DEN,OAK,22.5,21,64.77,63.8,4,16,32,22,4,16,32,22
